Log Reg,accuracy,error_rate,f_measure,false_pos,precision,recall,sensitivity,specificity
C = 6.8744,0.8514,0.1486,0.6611,0.0694,0.7333,0.6018,0.6018,0.9306
C = 20.1326,0.8514,0.1486,0.6611,0.0694,0.7333,0.6018,0.6018,0.9306
C = 172.6769,0.8514,0.1486,0.6611,0.0694,0.7334,0.6017,0.6017,0.9306
C = 505.7093,0.8514,0.1486,0.6611,0.0694,0.7334,0.6017,0.6017,0.9306
C = 1481.0427,0.8514,0.1486,0.6611,0.0694,0.7334,0.6017,0.6017,0.9306
C = 58.9614,0.8514,0.1486,0.661,0.0694,0.7333,0.6017,0.6017,0.9306
C = 2.3473,0.8513,0.1487,0.6608,0.0694,0.7332,0.6015,0.6015,0.9306
C = 0.8015,0.8512,0.1488,0.6605,0.0695,0.7329,0.6011,0.6011,0.9305
C = 0.2737,0.8512,0.1488,0.6602,0.0691,0.7336,0.6002,0.6002,0.9309
C = 0.0934,0.851,0.149,0.6591,0.0688,0.7338,0.5981,0.5981,0.9312
C = 0.0319,0.851,0.149,0.6571,0.067,0.7372,0.5927,0.5927,0.933
C = 0.0109,0.8501,0.1499,0.6494,0.0632,0.7431,0.5767,0.5767,0.9368
C = 0.0037,0.8446,0.1554,0.6221,0.056,0.7506,0.5312,0.5312,0.944
C = 0.0013,0.8291,0.1709,0.5523,0.0468,0.7479,0.4378,0.4378,0.9532
C = 0.0001,0.7592,0.2408,,0.0,,0.0,0.0,1.0
C = 0.0004,0.7592,0.2408,,0.0,,0.0,0.0,1.0
